Database: data/lotto-1871-1900.sqlite3
Estrazioni target analizzate: 1562
Intervallo: 4 del 1871-01-28 → 1565 del 1900-12-29
Definizione ottenuta: vengono intercettate almeno N-1 cifre Mancanti; con N=1 è richiesta l'unica cifra mancante.
Nota: Markov rappresenta la probabilità media di copertura completa; Atteso rappresenta invece la probabilità teorica esatta della soglia qui contata.

Ordinamento: Manc. ↑, TOP ↑

===== STATISTICA PER FASCIA =====
TOP  Manc.  Soglia    Markov    Atteso   Casi  Ottenute  Mancate  Successo    Scarto  Cifre/caso     Evidenza
---  -----  ------   -------   -------  -----  --------  -------  --------  --------  ----------  -----------
  1      1       1   58.90%   58.90%   2716      1591     1125   58.58%   -0.33%       0.586       strong
  2      1       1   59.53%   59.53%    744       440      304   59.14%   -0.39%       0.591       strong
  3      1       1   58.84%   58.84%    201       124       77   61.69%   +2.85%       0.617     moderate
  4      1       1   60.14%   60.14%    151       101       50   66.89%   +6.75%       0.669     moderate
  5      1       1   59.81%   59.81%     52        26       26   50.00%   -9.81%       0.500  preliminary
  6      1       1   68.16%   68.16%      1         0        1    0.00%  -68.16%       0.000    anecdotal
  1      2       1   37.13%   87.47%    916       805      111   87.88%   +0.41%       1.251       strong
  2      2       1   38.22%   88.02%    725       640       85   88.28%   +0.26%       1.288       strong
  3      2       1   36.65%   87.24%     68        58       10   85.29%   -1.94%       1.176  preliminary
  4      2       1   37.65%   87.85%     19        15        4   78.95%   -8.90%       1.053  exploratory
  5      2       1   35.03%   86.50%     17        15        2   88.24%   +1.73%       1.059  exploratory
  6      2       1   45.02%   91.31%      1         1        0  100.00%   +8.69%       2.000    anecdotal
  1      3       2   23.39%   72.14%    778       551      227   70.82%   -1.31%       1.924       strong
  2      3       2   22.30%   70.83%     53        35       18   66.04%   -4.79%       1.830  preliminary
  3      3       2   23.40%   72.18%    733       516      217   70.40%   -1.78%       1.894       strong
  4      3       2   23.98%   72.22%      2         1        1   50.00%  -22.22%       2.000    anecdotal
  6      3       2   18.41%   67.11%      1         1        0  100.00%  +32.89%       2.000    anecdotal
  1      4       3   13.47%   55.21%    831       448      383   53.91%   -1.30%       2.556       strong
  2      4       3   13.43%   55.09%    128        68       60   53.12%   -1.96%       2.578     moderate
  3      4       3   17.39%   62.36%      2         2        0  100.00%  +37.64%       3.500    anecdotal
  4      4       3   13.33%   54.92%    258       142      116   55.04%   +0.12%       2.628     moderate
  1      5       4    7.24%   39.40%    259       106      153   40.93%   +1.52%       3.232     moderate
  2      5       4    7.01%   38.77%    105        47       58   44.76%   +5.99%       3.257     moderate
  3      5       4    9.97%   47.07%      1         0        1    0.00%  -47.07%       3.000    anecdotal
  5      5       4    6.65%   37.90%      9         1        8   11.11%  -26.78%       2.667    anecdotal
  1      6       5    3.63%   26.28%     21         7       14   33.33%   +7.05%       4.143  exploratory
  2      6       5    3.87%   27.38%      7         1        6   14.29%  -13.10%       3.714    anecdotal
  3      6       5    3.26%   24.94%      5         2        3   40.00%  +15.06%       4.000    anecdotal

Totale osservazioni ruota-target: 8804
Totale ottenute: 5744/8804 (65.24%)
CSV esportato: _work/reports/consolidated-coverage/.coverage-hits-1871-1900.csv.tmp
