top,missing,threshold,markov_probability,expected_probability,cases,obtained,missed,success_rate,excess,mean_hit_digits,evidence_level
1,1,1,0.5922726802777961,0.5922726802777961,6186,3660,2526,0.5916585838991271,-0.000614096378669049,0.5916585838991271,strong
2,1,1,0.5990544508270783,0.5990544508270783,1769,1090,679,0.6161673261729791,0.01711287534590078,0.6161673261729791,strong
3,1,1,0.596029956620881,0.596029956620881,454,270,184,0.5947136563876652,-0.001316300233215828,0.5947136563876652,moderate
4,1,1,0.6072030247492696,0.6072030247492696,301,181,120,0.6013289036544851,-0.005874121094784468,0.6013289036544851,moderate
5,1,1,0.5982857003063927,0.5982857003063927,96,66,30,0.6875,0.08921429969360728,0.6875,preliminary
6,1,1,0.45300531512834297,0.45300531512834297,4,2,2,0.5,0.04699468487165703,0.5,anecdotal
7,1,1,0.681643298359372,0.681643298359372,2,2,0,1.0,0.318356701640628,1.0,anecdotal
1,2,1,0.3740857085401152,0.8759429912581288,2047,1785,262,0.8720078163165608,-0.0039351749415680315,1.243771372740596,strong
2,2,1,0.39278319165577097,0.8852315031409602,1590,1403,187,0.8823899371069183,-0.0028415660340419535,1.2666666666666666,strong
3,2,1,0.35861411959636363,0.868815124767711,138,125,13,0.9057971014492754,0.036981976681564444,1.326086956521739,moderate
4,2,1,0.35109921712997116,0.8642451551451658,34,28,6,0.8235294117647058,-0.04071574338045991,1.2058823529411764,preliminary
5,2,1,0.3834233079238385,0.8804554699988059,46,41,5,0.8913043478260869,0.010848877827281056,1.3043478260869565,preliminary
6,2,1,0.37239017268729024,0.8765774324159392,4,4,0,1.0,0.12342256758406078,1.75,anecdotal
1,3,2,0.23307798929213774,0.7205023787490598,1779,1290,489,0.7251264755480608,0.0046240967990009985,1.9162450815064642,strong
2,3,2,0.21755172076198465,0.7041226305394767,108,70,38,0.6481481481481481,-0.05597448239132852,1.8333333333333333,moderate
3,3,2,0.23796372584905479,0.7257311112492371,1631,1168,463,0.7161250766400981,-0.009606034609139003,1.923973022685469,strong
4,3,2,0.2863168506014707,0.7779687252128977,3,2,1,0.6666666666666666,-0.1113020585462311,2.3333333333333335,anecdotal
6,3,2,0.1886700934359134,0.6687964291009352,2,1,1,0.5,-0.16879642910093517,1.5,anecdotal
1,4,3,0.13377348382518436,0.5500789377259909,2019,1115,904,0.5522535908865776,0.002174653160586626,2.6027736503219416,strong
2,4,3,0.13693113338116106,0.5560142127682384,242,152,90,0.628099173553719,0.07208496078548066,2.7231404958677685,moderate
3,4,3,0.1738782543545434,0.6236326393422524,1,1,0,1.0,0.37636736065774756,3.0,anecdotal
4,4,3,0.13140382691261956,0.5462751761824944,576,316,260,0.5486111111111112,0.002335934928616723,2.5729166666666665,strong
1,5,4,0.07206356459955737,0.3932627641174351,602,246,356,0.40863787375415284,0.015375109636717732,3.2209302325581395,strong
2,5,4,0.07062805435477615,0.38922883917577555,249,105,144,0.42168674698795183,0.03245790781217628,3.3052208835341363,moderate
5,5,4,0.07138682668793882,0.39112430217899824,27,9,18,0.3333333333333333,-0.057790968845664925,3.111111111111111,exploratory
1,6,5,0.03600853655923053,0.2620106035735142,51,13,38,0.2549019607843137,-0.007108642789200481,3.803921568627451,preliminary
2,6,5,0.03446815611967052,0.25633961727102156,26,8,18,0.3076923076923077,0.05135269042128615,3.8846153846153846,exploratory
3,6,5,0.038135345052846104,0.27109676775504005,8,2,6,0.25,-0.021096767755040047,3.5,anecdotal
