missing_count,state_count,structural_class_count,count_only_expected_mean,minimum_expected_remaining_draws,maximum_expected_remaining_draws,expected_range,expected_weighted_rmse,expected_maximum_absolute_error,count_only_completion_probability_1,minimum_completion_probability_1,maximum_completion_probability_1,completion_probability_1_range,completion_probability_1_weighted_rmse,completion_probability_1_maximum_absolute_error,easiest_class_id,hardest_class_id
1,10,2,1.5410866230433011,1.4670429569349126,2.2074796180187986,0.74043666108388595,0.22213099832516578,0.66639299497549742,0.65877950003626906,0.45300531512834297,0.68164329835937199,0.22863798323102902,0.068591394969308703,0.20577418490792609,no-nine:1,nine-no-zero:0
2,45,3,1.9675139275136029,1.8388985686750792,2.4841442745545903,0.64524570587951113,0.25724534748231653,0.51663034704098743,0.41937774253714533,0.29457953656930075,0.45020080880527974,0.15562127223597899,0.061675556174610041,0.12479820596784458,no-nine:2,nine-no-zero:1
3,120,3,2.3055814943020621,2.1353045529189858,2.7061619997378812,0.57085744681889539,0.26012387526399855,0.40058050543581913,0.2562623159047836,0.18410704815379403,0.28631685060147072,0.10220980244767669,0.045956069303817529,0.072155267750989571,no-nine:3,nine-no-zero:2
4,210,3,2.5764990588153545,2.3727455679401848,2.8858290279731764,0.51308346003299166,0.24956798269054212,0.30932996915782196,0.14895977182903999,0.10961868579927198,0.1738782543545434,0.064259568555271429,0.030569265449039595,0.039341086029768019,no-nine:4,nine-no-zero:3
5,252,3,2.7971008297833406,2.5648061074587623,3.0331565855407527,0.46835047808199048,0.23231375094396525,0.23605575575741211,0.081341953939558856,0.061420681682343374,0.099661591633334809,0.038240909950991435,0.018363343813912799,0.019921272257215482,no-nine:5,nine-no-zero:4
6,210,3,2.9805012449718293,2.7225053744100993,3.1561554520159003,0.43365007760580099,0.21066798213232499,0.25799587056173001,0.040970884884817788,0.031810222641251031,0.052998425366265485,0.021188202725014454,0.0098522831426418201,0.012027540481447697,no-nine:6,nine-no-zero:5
7,120,3,3.136693839979714,2.8546142701319841,3.2611037747834959,0.40648950465151179,0.18467615867312276,0.28207956984772986,0.018500535663074635,0.014807755159881756,0.025458444495594576,0.01065068933571282,0.0045743911993365001,0.0069579088325199406,no-nine:7,nine-no-zero:6
8,45,3,3.2730949062997494,2.9679546354911395,3.352798273168982,0.38484363767784258,0.15257888786354251,0.30514027080860995,0.0071338010301647339,0.0059059004122673465,0.01055034636754475,0.0046444459552774037,0.0017175933394311634,0.0034165453373800163,no-nine:8,nine-no-zero:7
9,10,3,3.395033614822244,3.0676808804702298,3.4347889687067901,0.36710808823656027,0.10912347708293321,0.32735273435201417,0.0021330048090918829,0.0018348428465306448,0.0034403303372447665,0.0016054874907141217,0.00043878263186266741,0.0013073255281528836,no-nine:9,nine-no-zero:8
10,1,1,3.5061902809609604,3.5061902809609604,3.5061902809609604,0,0,0,0.0003822589263593883,0.0003822589263593883,0.0003822589263593883,0,0,0,zero-nine:8,zero-nine:8
