difficulty_rank,rank_within_missing_count,state_mask,state,missing_digits,missing_count,contains_digit_9,completion_probability_within_1,completion_probability_within_2,completion_probability_within_3,completion_probability_within_5,completion_probability_within_10,expected_remaining_draws,variance_remaining_draws,standard_deviation_remaining_draws,quantile_50_draws,quantile_90_draws,quantile_95_draws,quantile_99_draws
1,1,1,{0},0,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
2,2,2,{1},1,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
3,3,4,{2},2,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
4,4,8,{3},3,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
5,5,16,{4},4,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
6,6,32,{5},5,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
7,7,64,{6},6,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
8,8,128,{7},7,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
9,9,256,{8},8,1,no,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
10,1,3,"{0,1}",0 1,2,no,0.45020080880527974,0.80485210130362361,0.93612502349664917,0.9934646249172655,0.99997861203516947,1.8388985686750792,0.98954299326956185,0.99475775607409156,2,3,4,5
11,2,5,"{0,2}",0 2,2,no,0.45020080880527974,0.80485210130362361,0.93612502349664917,0.9934646249172655,0.99997861203516947,1.8388985686750792,0.98954299326956185,0.99475775607409156,2,3,4,5
