class_id,family,exchangeable_count,missing_count,state_multiplicity,canonical_state,contains_zero,contains_nine,allowed_numbers_avoiding_state,self_transition_probability,completion_probability_within_1,completion_probability_within_2,completion_probability_within_3,completion_probability_within_5,completion_probability_within_10,expected_remaining_draws,variance_remaining_draws,standard_deviation_remaining_draws,quantile_50_draws,quantile_90_draws,quantile_95_draws,quantile_99_draws
no-nine:1,no-nine,1,1,9,{0},yes,no,72,0.31835670164062801,0.68164329835937199,0.89864901052050017,0.96773423328129238,0.9967298326167443,0.99998930600528546,1.4670429569349126,0.68517208055741952,0.8277512190008659,1,3,3,5
nine-no-zero:0,nine-no-zero,0,1,1,{9},no,yes,80,0.54699468487165703,0.45300531512834297,0.7007968147221566,0.83633744795635001,0.95103164311783916,0.99760210002426131,2.2074796180187986,2.6654866459496223,1.6326318157960853,2,4,5,8
no-nine:2,no-nine,2,2,36,"{0,1}",yes,no,56,0.086914212086535769,0.45020080880527974,0.80485210130362361,0.93612502349664917,0.9934646249172655,0.99997861203516947,1.8388985686750792,0.98954299326956185,0.99475775607409156,2,3,4,5
nine-no-zero:1,nine-no-zero,1,2,8,"{1,9}",no,yes,63,0.1599309230815858,0.29457953656930075,0.62502372540038487,0.80816237842035654,0.94786610717869846,0.99759141697728593,2.4841442745545903,2.5612445554423653,1.6003888763179921,2,4,6,8
zero-nine:0,zero-nine,0,2,1,"{0,9}",yes,yes,64,0.1734843911393473,0.30813300462706228,0.62954265921164687,0.80929301215397476,0.9479186212642694,0.99759143072426437,2.4646240693725585,2.5836579426033861,1.607376104899966,2,4,6,8
no-nine:3,no-nine,3,3,84,"{0,1,2}",yes,no,42,0.019355680736252535,0.28631685060147072,0.71823462997260668,0.90516511918783549,0.99020437418486007,0.99996791808965191,2.1353045529189858,1.101578237663996,1.0495609737714127,2,3,4,5
nine-no-zero:2,nine-no-zero,2,3,28,"{1,2,9}",no,yes,48,0.038960921943000278,0.18410704815379403,0.55528676290258794,0.78058472495299114,0.94470544115025445,0.99758073395490099,2.7061619997378812,2.4238939806271134,1.5568859883199904,2,5,6,8
zero-nine:1,zero-nine,1,3,8,"{0,1,9}",yes,yes,49,0.043388299436523038,0.19323313871803277,0.559441105624505,0.78169281914636246,0.94475789124190479,0.99758074770186367,2.6914576097989964,2.444349868250864,1.563441674080253,2,5,6,8
no-nine:4,no-nine,4,4,126,"{0,1,2,3}",yes,no,30,0.0032425113428510345,0.1738782543545434,0.63843246803049403,0.87484730298799074,0.98694907770318274,0.99995722416873267,2.3727455679401848,1.12771604960645,1.0619397579931029,2,4,4,6
nine-no-zero:3,nine-no-zero,3,4,56,"{1,2,3,9}",no,yes,35,0.0073865166537017178,0.10961868579927198,0.49126584548027741,0.75359763910900834,0.94154964233779248,0.99757005095710638,2.8858290279731764,2.2929690897147825,1.5142552921204477,3,5,6,8
zero-nine:2,zero-nine,2,4,28,"{0,1,2,9}",yes,yes,36,0.0085778903075245765,0.1155087725238108,0.49507461668670216,0.75468342191204596,0.94160202845997454,0.99757006470405352,2.8747298294379746,2.3095977926575273,1.5197360930956161,3,5,6,8
no-nine:5,no-nine,5,5,126,"{0,1,2,3,4}",yes,no,20,0.00035277038061248253,0.099661591633334809,0.56509187641319769,0.84516439157772816,0.9836987327562472,0.99994653027241209,2.5648061074587623,1.1239525511513735,1.0601662846701803,2,4,5,6
nine-no-zero:4,nine-no-zero,4,5,70,"{1,2,3,4,9}",no,yes,24,0.00096711508369149628,0.061420681682343374,0.4326504699531884,0.72719430562998311,0.93839870804695513,0.99755936798390221,3.0331565855407527,2.184175808649222,1.4778957367315266,3,5,6,8
zero-nine:3,zero-nine,3,5,56,"{0,1,2,3,9}",yes,yes,25,0.0012088938546143703,0.065024359450082295,0.43613216310520675,0.72825800433044752,0.93845103022411969,0.99755938173083381,3.0246942603168763,2.1967914963786868,1.4821577164319211,3,5,6,8
no-nine:6,no-nine,6,6,84,"{0,1,2,3,4,5}",yes,no,12,1.8020777956984403e-05,0.052998425366265485,0.49786938136730374,0.81610923564123872,0.98045333662842504,0.99993583640069006,2.7225053744100993,1.1164782943488971,1.0566353648959972,3,4,5,6
nine-no-zero:5,nine-no-zero,5,6,56,"{1,2,3,4,5,9}",no,yes,15,6.8328783086899199e-05,0.031810222641251031,0.37913959193116098,0.70136794240072942,0.93525263558374316,0.99754868503528882,3.1561554520159003,2.1002611511359373,1.4492277775201305,3,5,6,8
zero-nine:4,zero-nine,4,6,70,"{0,1,2,3,4,9}",yes,yes,16,9.9387320853671555e-05,0.033866366101933949,0.38231217958610908,0.70240978342489047,0.9353048938403391,0.99754869878220487,3.1495729240106494,2.1094739417783721,1.4524028166381295,3,5,6,8
